positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,平均薪资,workYear
资深数据分析师（业务运营）,美团点评,北京,2000人以上,本科,上市公司,消费生活,20k-35k,27.5,1-3年
数据分析师,竞技世界,北京,500-2000人,本科,不需要融资,"移动互联网,游戏",14k-18k,16.0,应届毕业生
数据分析实习生,币世界,北京,150-500人,本科,A轮,"移动互联网,金融",4k-5k,4.5,应届毕业生
数据分析师,本木医疗,北京,50-150人,本科,不需要融资,"移动互联网,消费生活",15k-30k,22.5,5-10年
数据分析师,51Talk 无忧英语,北京,2000人以上,本科,上市公司,"移动互联网,教育",10k-18k,14.0,应届毕业生
风险数据分析师,融360,北京,500-2000人,本科,上市公司,金融,12k-20k,16.0,1-3年
大数据分析师,码上赢,北京,50-150人,本科,A轮,"移动互联网,企业服务",15k-20k,17.5,3-5年
数据分析工程师（零售类）,码上赢,北京,50-150人,本科,A轮,"移动互联网,企业服务",10k-20k,15.0,1-3年
高级数据分析专家,圣达龙翔,北京,150-500人,本科,不需要融资,"硬件,数据服务",35k-55k,45.0,5-10年
商业数据分析师,Games Vessel,北京,50-150人,本科,不需要融资,"游戏,软件开发",10k-20k,15.0,1-3年
数据分析师,快看漫画,北京,500-2000人,本科,D轮及以上,文娱丨内容,20k-30k,25.0,3-5年
风险数据分析岗,阳光产险信保事业部,北京,2000人以上,硕士,不需要融资,金融,15k-25k,20.0,3-5年
数据分析师(广告方向),多牛传媒,北京,500-2000人,硕士,上市公司,文娱丨内容,15k-30k,22.5,1-3年
数据分析师(广告方向),多牛传媒,北京,500-2000人,硕士,上市公司,文娱丨内容,15k-30k,22.5,1-3年
数据分析处理专家,企企科技,北京,150-500人,本科,A轮,"移动互联网,企业服务",35k-45k,40.0,10年以上
数据分析师,人人公司,北京,2000人以上,本科,上市公司,"社交,金融",15k-25k,20.0,3-5年
1121UJ-资深数据分析师（北京）,平安科技,北京,2000人以上,本科,不需要融资,金融,18k-36k,27.0,5-10年
数据建模分析师,虎博科技,北京,50-150人,硕士,A轮,"移动互联网,金融",15k-30k,22.5,不限
大数据分析师,鲸准,北京,150-500人,本科,D轮及以上,"数据服务,企业服务",15k-30k,22.5,3-5年
金融数据分析师/双休五险,储慧国际咨询,北京,150-500人,不限,未融资,金融,8k-16k,12.0,不限
数据分析师,泰康保险集团,北京,2000人以上,本科,不需要融资,金融,20k-40k,30.0,3-5年
临床数据分析员,艾迪泰科,北京,150-500人,本科,不需要融资,其他,7k-12k,9.5,不限
数据分析师,大地云坞,北京,150-500人,本科,不需要融资,"数据服务,软件开发",13k-20k,16.5,1-3年
数据分析师,普梅尔森,北京,15-50人,本科,不需要融资,企业服务,15k-20k,17.5,3-5年
数据分析师,博乐科技,北京,500-2000人,本科,不需要融资,移动互联网,13k-26k,19.5,1-3年
数据分析师（广告销售团队）,趣头条,北京,500-2000人,本科,上市公司,文娱丨内容,20k-40k,30.0,3-5年
销售管理（数据分析&amp;渠道管理方向）,趣头条,北京,500-2000人,本科,上市公司,文娱丨内容,20k-35k,27.5,3-5年
