时间,连续3小时累计发电量,开始时间,结束时间
2021-08-09,28157.0,09:00:00,11:00:00
2021-08-10,21969.0,09:00:00,11:00:00
2021-08-11,26654.0,10:00:00,12:00:00
2021-08-12,27866.0,09:00:00,11:00:00
2021-08-13,30859.0,10:00:00,12:00:00
2021-08-14,26484.0,09:00:00,11:00:00
2021-08-15,22199.0,08:00:00,10:00:00
2021-08-16,18342.0,12:00:00,14:00:00
2021-08-17,30927.0,10:00:00,12:00:00
2021-08-18,215.0,12:00:00,14:00:00
2021-08-19,24560.0,10:00:00,12:00:00
2021-08-20,29976.0,10:00:00,12:00:00
2021-08-21,28464.0,10:00:00,12:00:00
2021-08-22,31162.0,10:00:00,12:00:00
2021-08-23,27108.0,09:00:00,11:00:00
2021-08-24,24020.0,10:00:00,12:00:00
2021-08-25,25976.0,10:00:00,12:00:00
2021-08-26,29621.0,09:00:00,11:00:00
2021-08-27,31174.0,10:00:00,12:00:00
2021-08-28,202.0,12:00:00,14:00:00
2021-08-29,31523.0,10:00:00,12:00:00
2021-08-30,31537.0,10:00:00,12:00:00
2021-08-31,30908.0,10:00:00,12:00:00
2021-09-01,28424.0,09:00:00,11:00:00
2021-09-02,29082.0,09:00:00,11:00:00
2021-09-03,26478.0,09:00:00,11:00:00
2021-09-04,24834.0,09:00:00,11:00:00
2021-09-05,25523.0,10:00:00,12:00:00
2021-09-06,29581.0,10:00:00,12:00:00
2021-09-07,25587.0,10:00:00,12:00:00
2021-09-08,28745.0,10:00:00,12:00:00
2021-09-09,20761.0,09:00:00,11:00:00
2021-09-10,26638.0,10:00:00,12:00:00
2021-09-11,25641.0,10:00:00,12:00:00
2021-09-12,29773.0,09:00:00,11:00:00
2021-09-13,19870.0,08:00:00,10:00:00
2021-09-14,22472.0,10:00:00,12:00:00
2021-09-15,26655.0,09:00:00,11:00:00
2021-09-16,23112.0,09:00:00,11:00:00
2021-09-17,25412.0,10:00:00,12:00:00
2021-09-18,27807.0,10:00:00,12:00:00
2021-09-19,25443.0,09:00:00,11:00:00
2021-09-20,24979.0,10:00:00,12:00:00
2021-09-21,28652.0,10:00:00,12:00:00
2021-09-22,26575.0,09:00:00,11:00:00
2021-09-23,19020.0,10:00:00,12:00:00
2021-09-24,19777.0,10:00:00,12:00:00
2021-09-25,20740.0,09:00:00,11:00:00
2021-09-26,21615.0,09:00:00,11:00:00
2021-09-27,21707.0,09:00:00,11:00:00
2021-09-28,23652.0,10:00:00,12:00:00
2021-09-29,24520.0,10:00:00,12:00:00
2021-09-30,24309.0,09:00:00,11:00:00
2021-10-01,10395.0,09:00:00,11:00:00
2021-10-02,9999.0,10:00:00,12:00:00
2021-10-03,23221.0,10:00:00,12:00:00
2021-10-04,20866.0,11:00:00,13:00:00
2021-10-05,19705.0,10:00:00,12:00:00
2021-10-06,12687.0,10:00:00,12:00:00
2021-10-07,18655.0,10:00:00,12:00:00
2021-10-08,22465.0,10:00:00,12:00:00
2021-10-09,15499.0,09:00:00,11:00:00
2021-10-10,7187.0,10:00:00,12:00:00
2021-10-11,17963.0,10:00:00,12:00:00
2021-10-12,23539.0,09:00:00,11:00:00
2021-10-13,11102.0,09:00:00,11:00:00
2021-10-14,11454.0,10:00:00,12:00:00
2021-10-15,15910.0,10:00:00,12:00:00
2021-10-16,18384.0,09:00:00,11:00:00
2021-10-17,20297.0,09:00:00,11:00:00
2021-10-18,14293.0,09:00:00,11:00:00
2021-10-19,17714.0,10:00:00,12:00:00
2021-10-20,17069.0,09:00:00,11:00:00
2021-10-21,14908.0,09:00:00,11:00:00
2021-10-22,17293.0,10:00:00,12:00:00
2021-10-23,23488.0,10:00:00,12:00:00
2021-10-24,24946.0,09:00:00,11:00:00
2021-10-25,21609.0,09:00:00,11:00:00
2021-10-26,16674.0,10:00:00,12:00:00
2021-10-27,16154.0,09:00:00,11:00:00
2021-10-28,8309.0,10:00:00,12:00:00
2021-10-29,9333.0,10:00:00,12:00:00
2021-10-30,16711.0,09:00:00,11:00:00
2021-10-31,18341.0,09:00:00,11:00:00
2021-11-01,21907.0,09:00:00,11:00:00
2021-11-02,23451.0,09:00:00,11:00:00
2021-11-03,20076.0,09:00:00,11:00:00
2021-11-04,17707.0,09:00:00,11:00:00
2021-11-05,19669.0,10:00:00,12:00:00
2021-11-06,20980.0,10:00:00,12:00:00
2021-11-07,22239.0,09:00:00,11:00:00
2021-11-08,22615.0,09:00:00,11:00:00
2021-11-09,22156.0,09:00:00,11:00:00
2021-11-10,20709.0,09:00:00,11:00:00
2021-11-11,18099.0,10:00:00,12:00:00
2021-11-12,17674.0,10:00:00,12:00:00
2021-11-13,9527.0,10:00:00,12:00:00
2021-11-14,9362.0,09:00:00,11:00:00
2021-11-15,12449.0,09:00:00,11:00:00
2021-11-16,14434.0,10:00:00,12:00:00
2021-11-17,12351.0,10:00:00,12:00:00
2021-11-18,10969.0,10:00:00,12:00:00
2021-11-19,11528.0,09:00:00,11:00:00
2021-11-20,11912.0,10:00:00,12:00:00
2021-11-21,4752.0,10:00:00,12:00:00
2021-11-22,15906.0,10:00:00,12:00:00
2021-11-23,6447.0,09:00:00,11:00:00
2021-11-24,14418.0,09:00:00,11:00:00
2021-11-25,11763.0,09:00:00,11:00:00
