企业,日期,2021月用电量
87ec2f32403eb4aa4378,202105,659.2392258
87ec2f32403eb4aa4378,202106,696.9153
87ec2f32403eb4aa4378,202107,690.8139032
d28ec9e34c7f975ceb74,202103,73348.56323
87ec2f32403eb4aa4378,202108,688.4506452
d28ec9e34c7f975ceb74,202104,65734.70833
d28ec9e34c7f975ceb74,202105,60074.80129
053c7e9641b99c416895,202106,37503.602
d28ec9e34c7f975ceb74,202106,70455.03867
d28ec9e34c7f975ceb74,202107,71882.56839
d28ec9e34c7f975ceb74,202108,73940.54
c32c08c270cbe06f770d,202105,46.22558065
c32c08c270cbe06f770d,202106,50.21683333
c32c08c270cbe06f770d,202107,62.84587097
c32c08c270cbe06f770d,202108,61.99354839
90067db4fb1b126a8a8c,202103,4101.653903
90067db4fb1b126a8a8c,202104,1548.1841
90067db4fb1b126a8a8c,202105,1917.034903
90067db4fb1b126a8a8c,202106,4330.380667
c3caf978d2c20584f827,202103,4075.425613
90067db4fb1b126a8a8c,202107,4879.514484
c3caf978d2c20584f827,202104,4617.82
90067db4fb1b126a8a8c,202108,4871.882323
c3caf978d2c20584f827,202105,4063.570581
c3caf978d2c20584f827,202106,4278.8978
c3caf978d2c20584f827,202107,4736.285548
acf757896f336a2db983,202103,380.7234516
c3caf978d2c20584f827,202108,4028.93529
acf757896f336a2db983,202104,418.6436
def0b61799049c6a30f9,202106,177.1225
def0b61799049c6a30f9,202107,204.4863871
def0b61799049c6a30f9,202108,170.0060645
361bd868c4afe474b75c,202103,15440.5661
361bd868c4afe474b75c,202104,15024.3649
361bd868c4afe474b75c,202105,12635.14632
361bd868c4afe474b75c,202106,9813.7063
361bd868c4afe474b75c,202107,9189.980968
771bd4e7d9184b8d09c4,202104,37993.81017
361bd868c4afe474b75c,202108,13190.00832
12f6b397ee65ec86f5fd,202103,7396.229355
771bd4e7d9184b8d09c4,202105,40700.54048
771bd4e7d9184b8d09c4,202106,48273.16917
771bd4e7d9184b8d09c4,202107,54221.08855
771bd4e7d9184b8d09c4,202108,52147.42645
8dc1ef3f1249716dcf6d,202103,1884.801613
e4a0b2729598fc7d464f,202107,16458.35548
e4a0b2729598fc7d464f,202108,12646.14903
8dc1ef3f1249716dcf6d,202104,1447.18
796f02a98fae9c976d29,202103,3667.705484
8dc1ef3f1249716dcf6d,202105,1157.228065
796f02a98fae9c976d29,202104,5033.366
8dc1ef3f1249716dcf6d,202106,1752.234
796f02a98fae9c976d29,202105,4115.755968
8dc1ef3f1249716dcf6d,202107,2030.083871
796f02a98fae9c976d29,202106,6093.2485
acf757896f336a2db983,202105,380.5684839
796f02a98fae9c976d29,202107,5837.64129
acf757896f336a2db983,202106,403.3909
796f02a98fae9c976d29,202108,5182.708871
94ac043cfede94a02eb8,202103,11473.43065
acf757896f336a2db983,202107,487.2637742
94ac043cfede94a02eb8,202104,10539.951
acf757896f336a2db983,202108,497.2591935
aebabca157d010841158,202103,1556.231258
aebabca157d010841158,202104,1226.4362
aebabca157d010841158,202105,1251.293484
aebabca157d010841158,202106,2093.998567
224ec148fd3ed8ae26f4,202103,11010.46452
053c7e9641b99c416895,202107,35329.93968
053c7e9641b99c416895,202108,33254.14677
c0fefcf8b26babd70107,202103,9508.827097
e5f9a9b0a455f5564e6f,202108,2808.796774
7d4add74b506dc9c7789,202103,15589.56758
7d4add74b506dc9c7789,202104,15910.2225
7d4add74b506dc9c7789,202105,14724.07274
7d4add74b506dc9c7789,202106,15546.92
7d4add74b506dc9c7789,202107,14184.20387
7d4add74b506dc9c7789,202108,14872.26065
cbeb4c6f63f9bfe410d9,202103,102467.7768
cbeb4c6f63f9bfe410d9,202104,118147.5493
cbeb4c6f63f9bfe410d9,202105,123323.3355
cbeb4c6f63f9bfe410d9,202106,129925.356
cbeb4c6f63f9bfe410d9,202107,136345.2748
cbeb4c6f63f9bfe410d9,202108,172170.7174
79bb23fda9b10f61e8a5,202108,674.736
5e7ef204489d302c995c,202108,310372.8093
f604114b227601bc747f,202103,11747.14242
bbba61575fcd40e91dad,202108,297.2733226
500072de4be0b3787a4a,202108,40923.88774
2028ae2bdbb7cc69166b,202107,1242.382839
057e6fb165d5eb2a86e0,202103,3020.870129
2028ae2bdbb7cc69166b,202108,1226.227452
057e6fb165d5eb2a86e0,202104,2784.2533
a0fc9d85cf62d7fd5ddf,202103,2307.669839
f604114b227601bc747f,202104,9812.145
b466f307fb7f1bc5f017,202103,897.0372258
057e6fb165d5eb2a86e0,202105,2684.900065
0f5f317bd764e824e0d1,202103,69106.32129
057e6fb165d5eb2a86e0,202106,2623.159167
0f5f317bd764e824e0d1,202104,65244.3
057e6fb165d5eb2a86e0,202107,4291.334419
0f5f317bd764e824e0d1,202105,65833.40258
057e6fb165d5eb2a86e0,202108,4851.232871
150b58dc0efe9d5179a3,202103,24739.44419
0bc19ad9f9cdda34c045,202103,266.2797742
0f5f317bd764e824e0d1,202106,66565.4
0bc19ad9f9cdda34c045,202104,471.2073667
b466f307fb7f1bc5f017,202104,547.7511
0f5f317bd764e824e0d1,202107,52281.47355
0bc19ad9f9cdda34c045,202105,699.0271935
b466f307fb7f1bc5f017,202105,163.1874839
f604114b227601bc747f,202105,10555.8279
b466f307fb7f1bc5f017,202106,236.9323
f604114b227601bc747f,202106,9924.4385
b466f307fb7f1bc5f017,202107,2851.335419
a0fc9d85cf62d7fd5ddf,202104,2161.494767
aebabca157d010841158,202107,2575.647806
aebabca157d010841158,202108,3003.358774
269b0c45f11bb3641ec8,202103,168.3401613
52f8b42e19f452036766,202105,14103.62065
52f8b42e19f452036766,202106,15140.18133
269b0c45f11bb3641ec8,202104,183.4477667
a0fc9d85cf62d7fd5ddf,202105,1999.63271
0bc19ad9f9cdda34c045,202106,1185.362
f604114b227601bc747f,202107,10726.67984
a0fc9d85cf62d7fd5ddf,202106,2139.956833
f604114b227601bc747f,202108,12214.37016
a0fc9d85cf62d7fd5ddf,202107,2052.128032
e8260c1bd2fc43d8b23b,202103,5040.952129
a0fc9d85cf62d7fd5ddf,202108,2097.262387
f62826b32a2dd0d053a4,202103,2557.749032
e8260c1bd2fc43d8b23b,202104,5721.498967
